library,graph,vertices,edges,cores,mst_weight,mst_edges,time_ms
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,79105.16
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,53053.10
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51301.13
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55087.56
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,56237.10
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52236.15
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52966.18
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,56216.85
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52109.73
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51019.78
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,50829.28
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52880.35
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54029.54
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51593.71
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54601.53
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52841.43
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52261.84
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52118.87
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54589.35
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51991.07
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,50843.94
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,59208.32
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54825.16
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,50743.37
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,52155.63
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,50798.23
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51202.65
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51462.06
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51655.77
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,51903.60
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,84212.02
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54329.40
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,58410.47
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,53431.71
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55429.91
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55359.18
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,56365.75
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,59020.28
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55801.19
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54463.19
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,56582.84
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,57926.53
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,58325.66
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55918.25
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55128.85
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55739.14
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,56643.48
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,60550.45
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,56226.01
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,56651.34
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,60212.83
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,59031.10
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,55751.61
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,58874.20
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54903.46
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,57588.65
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,60684.56
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,57239.73
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,57593.48
spark,in-2004.mtx,1382908,13591473,8,1382774.0,1382774,54947.55
